1,"Independent Swiss Lab Says 'BZ Toxin' Used In Skripal Poisoning; US/UK-Produced, Not Russian https://t.co/hGfiLfHB2x"
2,"Well well well, so it wasn't a Russian nerve agent? A UK/US nerve agent you say? #russia #skripal #syriastrikes
Lavrov: Swiss lab says ‘BZ toxin’ used in Salisbury, not produced in Russia, was in US &amp; UK service https://t.co/RtC3o8quJ8"
3,@Rachael_Swindon You seen this? https://t.co/mwpnnE047N
4,"The article also contains a quote attributed to Japan’s Ministry of Foreign Affairs. It says that, ahead of Abe’s Russia trip at the end of May, “Japan has nothing to gain from expelling Russian diplomats” in response to the Skripal case."
5,"@tedtully Things went very wrong when they reached the Skripal's: ""Just put a bit...Vanya, shit, that's the Boots shaving cream! We're screwed!"" ""No, Alexi, wait, use this - I found it when we broke into Porton Down last week. No idea what it is but it's better than nothing."""
6,About time the British authorities released Yulia #Skripal https://t.co/KAPxzZVZyj
7,"Lavrov: Swiss lab says ‘BZ toxin’ used in Salisbury, not produced in Russia, was in US &amp; UK service https://t.co/314YQ8ZDSW"
8,"Independent Swiss Lab Says 'BZ Toxin' Used In Skripal Poisoning; US/UK-Produced, Not Russian | Zero Hedge https://t.co/fv8jAgtjq1"
9,"Moscow accuses chemical watchdog of ""manipulating"" probe in to Skripal poisoning https://t.co/rnPAdiBb3F"
10,Vox Political - Is there a covert motive behind the Skripal poisonings and the Syria air strike?... https://t.co/SrAkUfhEEE
11,"@TransportChris There's no way Skripal would have returned to Russia.

https://t.co/2StxraJn2I"
12,@abcnews Independent Swiss Lab says 'BZ' Toxin used in Skripal Poising : US - UK produced not Russia.
13,Dr Chris Busby on the Skripal Russia Poisoning affair https://t.co/02rH7cYByh via @YouTube
14,a covert motive behind the Skripal poisonings and the Syria air strike? Here's the evidence https://t.co/EGfj1MeG1O via @MidWalesMike
15,"News Flow From April 10, 2018@4:00am 

 Anger Is Building In The UK At The Government’s Handling Of The Skripal Case  https://t.co/KQ28Q6MJDq  

🏛️#Politically Hedged"
16,"Oops: Independent Swiss Lab Says 'BZ Toxin' Used In Skripal Poisoning; US/UK-Produced, Not Russian https://t.co/Vp1QXC7ue7"
17,"#Skripal would have been far more valuable alive to 🇷🇺 than dead,it is said that MrSkripal even wanted to return to TheMotherland,what did he know?Anything to do with Steele Dossier &amp; Pablo Miller I wonder...😑
May's☣️Government falling apart🕳⏳
📞🚖
https://t.co/jEnpSzi15g"
18,Thread #Skripal #BZ #Novichok https://t.co/JoJn2bOdHq
19,"Some in the Middle East, in Russia and in the West(the #USA and its Western allies) want a #Russia/#NATO war.The war-mongers(religious and ideological fundamentalists)are counting on the #Skripal and the #Douma poisonings to make that #war possible. #Tokyo #Paris #Berlin #Brazil"
20,"Independent Swiss Lab Says ‘BZ Toxin’ Used in Skripal Poisoning; US/UK-Produced, Not Russian https://t.co/rFquoLxzyX https://t.co/sXhj2P2eKs"
