1,@Mellecon Joint UN Resolution to call Assad a “fuckhead”
2,"@DavidHadley1973 @ib2_real Of course! but #Assad forces &amp; #Iranian  mecenaries &amp; #Russian troops &amp; #Hizbullah  militias have been killing civilians &amp; "" innocent children"" for the past 7 years. They are committing war crimes &amp; ethnic cleansing. How do you want to solve this issue? 
#Syria 
#SyriaStrikes"
3,"A Day After U.S. Airstrikes in Syria, Assad Launches New Onslaught Against Rebels - The Wall Street Journal https://t.co/jW5atzC6Na"
4,"Syrian rebels used Sarin nerve gas, not Assad’s regime: U.N. official - https://t.co/dIg6fUoUZG - @washtimes"
5,@secupp We're mad because Trumplestilskin acts like a pussy and mollycoddles Putin's pet instead of blowing Assad's ass off of the planet.
6,"@natehoIe @JelaniRaysMom ...And Assad is still there, so very thankful he can carry on as usual, with the help of Russia, who knows Tump will always be counted on 2 never completely ""accomplish the mission"" 4 fear he will release the peepee tape &amp; whatever else it is, that he's being compromised with. https://t.co/7R0rmYTo8G"
7,@TheListener69 @axios @nikkihaley @AmbJohnBolton @ClareMLopez I gave up watching all television 2 years ago so you don't know what you're talking about. There are much more reliable sources other than the boob tube. Undermining Assad at this time emboldens Iran &amp; Turkey &amp; ISIS. It's a many sided battlefield.
8,@nytimes @comradestumpII Thank God!  We need Assad to continue squashing ISIS.
9,@rodgerk1 @Omega_Phoenix11 @Smyldawg @AdamWSweeney We have the intelligence from boots on the ground as well as our two partner countries! Assad and Putin certainly aren’t going to fess up... if that’s what you’re waiting for!
10,"@developerWannab @mbesheer @KarenPierceUN Been 50 previous chlorine attacks by Assad between last years Tomahawk strike &amp; this one... If you think this attack was ""manufactured"" then you're a fucking idiot... Plain &amp; simple"
11,"PEOPLE n AMERICA remember Paul Ryan was one who went against Pres: OBAMA ideal of how 2get Bin Laden,but when Pres:OBAMA got Bin Laden,Paul Ryan praise Pres:OBAMA on his military tactical action N getting Bin Laden. PEOPLE can TRUMP get ASSAD &amp; not cause a WAR. He say he's smart."
12,"Deadly Syria attack shines spotlight on chemical weapons linked to Assad regime, ISIS-inspired terror groups https://t.co/fzYXAY58Hz"
